"","TimePST","TemperatureF","Dew.PointF","Humidity","Sea.Level.PressureIn","VisibilityMPH","Wind.Direction","Wind.SpeedMPH","Gust.SpeedMPH","PrecipitationIn","Events","Conditions","WindDirDegrees","DateUTC","date","changedTime"
"1","12:56 AM",44.1,33.1,"65",30.08,10,"WNW","3.5","-","N/A","","Clear",300,"2015-01-01 08:56:00","01/01/2015",0
"2","1:56 AM",39.9,32,"73",30.09,10,"SSW","3.5","-","N/A","","Clear",200,"2015-01-01 09:56:00","01/01/2015",1
"3","2:56 AM",50,30,"46",30.09,10,"NE","17.3","-","N/A","","Clear",50,"2015-01-01 10:56:00","01/01/2015",2
"4","3:56 AM",48.9,28,"44",30.09,10,"ENE","11.5","-","N/A","","Clear",60,"2015-01-01 11:56:00","01/01/2015",3
"5","4:56 AM",48.9,28,"44",30.09,10,"ENE","12.7","-","N/A","","Clear",60,"2015-01-01 12:56:00","01/01/2015",4
"6","5:56 AM",48,26.1,"42",30.1,10,"NE","9.2","-","N/A","","Clear",40,"2015-01-01 13:56:00","01/01/2015",5
"7","6:56 AM",48,28.9,"48",30.12,10,"NE","17.3","-","N/A","","Clear",40,"2015-01-01 14:56:00","01/01/2015",6
"8","7:56 AM",48.9,27,"43",30.14,10,"NE","13.8","-","N/A","","Clear",50,"2015-01-01 15:56:00","01/01/2015",7
"9","8:56 AM",50,27,"41",30.15,10,"NE","11.5","-","N/A","","Clear",50,"2015-01-01 16:56:00","01/01/2015",8
"10","9:56 AM",51.1,28,"41",30.17,10,"NE","16.1","-","N/A","","Clear",50,"2015-01-01 17:56:00","01/01/2015",9
"11","10:56 AM",52,28.9,"41",30.17,10,"NE","15.0","-","N/A","","Clear",50,"2015-01-01 18:56:00","01/01/2015",10
"12","11:56 AM",53.1,30.9,"43",30.14,10,"NE","11.5","-","N/A","","Clear",40,"2015-01-01 19:56:00","01/01/2015",11
"13","12:56 PM",54,30.9,"41",30.12,10,"ENE","6.9","-","N/A","","Clear",60,"2015-01-01 20:56:00","01/01/2015",12
"14","1:56 PM",54,33.1,"45",30.1,10,"ENE","9.2","-","N/A","","Clear",60,"2015-01-01 21:56:00","01/01/2015",13
"15","2:56 PM",54,35.1,"49",30.12,10,"NNE","13.8","-","N/A","","Clear",30,"2015-01-01 22:56:00","01/01/2015",14
"16","3:56 PM",54,30,"40",30.13,10,"NW","5.8","-","N/A","","Clear",320,"2015-01-01 23:56:00","01/01/2015",15
"17","4:56 PM",52,37.9,"59",30.14,10,"North","6.9","-","N/A","","Clear",360,"2015-01-02 00:56:00","01/02/2015",16
"18","5:56 PM",51.1,35.1,"54",30.14,10,"NNW","9.2","-","N/A","","Clear",340,"2015-01-02 01:56:00","01/02/2015",17
"19","6:56 PM",50,35.1,"57",30.15,10,"NNW","5.8","-","N/A","","Clear",330,"2015-01-02 02:56:00","01/02/2015",18
"20","7:56 PM",48.9,32,"52",30.15,10,"South","3.5","-","N/A","","Clear",190,"2015-01-02 03:56:00","01/02/2015",19
"21","8:56 PM",46.9,32,"56",30.16,10,"SE","3.5","-","N/A","","Clear",140,"2015-01-02 04:56:00","01/02/2015",20
"22","9:56 PM",46.9,30.9,"54",30.17,10,"Calm","Calm","-","N/A","","Clear",0,"2015-01-02 05:56:00","01/02/2015",21
"23","10:56 PM",45,30.9,"58",30.17,10,"Calm","Calm","-","N/A","","Partly Cloudy",0,"2015-01-02 06:56:00","01/02/2015",22
"24","11:56 PM",44.1,33.1,"65",30.17,10,"Calm","Calm","-","N/A","","Partly Cloudy",0,"2015-01-02 07:56:00","01/02/2015",23
"25","12:56 AM",43,32,"65",30.18,10,"Calm","Calm","-","N/A","","Partly Cloudy",0,"2015-01-02 08:56:00","01/02/2015",0
"26","1:56 AM",42.1,34,"73",30.18,10,"Calm","Calm","-","N/A","","Partly Cloudy",0,"2015-01-02 09:56:00","01/02/2015",1
"27","2:56 AM",37.9,32,"79",30.18,10,"SW","3.5","-","N/A","","Partly Cloudy",220,"2015-01-02 10:56:00","01/02/2015",2
"28","3:56 AM",39.9,32,"73",30.18,10,"Calm","Calm","-","N/A","","Partly Cloudy",0,"2015-01-02 11:56:00","01/02/2015",3
"29","4:56 AM",37.9,33.1,"83",30.17,10,"Calm","Calm","-","N/A","","Partly Cloudy",0,"2015-01-02 12:56:00","01/02/2015",4
"30","5:56 AM",39,35.1,"86",30.18,10,"Calm","Calm","-","N/A","","Scattered Clouds",0,"2015-01-02 13:56:00","01/02/2015",5
"31","6:56 AM",39.9,36,"86",30.19,10,"South","3.5","-","N/A","","Scattered Clouds",190,"2015-01-02 14:56:00","01/02/2015",6
"32","7:21 AM",41,35.6,"81",30.2,10,"South","3.5","-","N/A","","Mostly Cloudy",190,"2015-01-02 15:21:00","01/02/2015",7
"33","7:56 AM",41,37,"86",30.22,9,"South","3.5","-","N/A","","Scattered Clouds",180,"2015-01-02 15:56:00","01/02/2015",7
"34","8:56 AM",45,35.1,"68",30.23,10,"SSE","4.6","-","N/A","","Partly Cloudy",150,"2015-01-02 16:56:00","01/02/2015",8
"35","9:56 AM",46,35.1,"66",30.23,10,"East","3.5","-","N/A","","Scattered Clouds",90,"2015-01-02 17:56:00","01/02/2015",9
"36","10:56 AM",46.9,37,"68",30.22,10,"East","4.6","-","N/A","","Scattered Clouds",100,"2015-01-02 18:56:00","01/02/2015",10
"37","11:56 AM",48,37,"66",30.18,10,"Calm","Calm","-","N/A","","Scattered Clouds",0,"2015-01-02 19:56:00","01/02/2015",11
"38","12:56 PM",50,35.1,"57",30.15,10,"Calm","Calm","-","N/A","","Partly Cloudy",0,"2015-01-02 20:56:00","01/02/2015",12
"39","1:56 PM",51.1,34,"52",30.13,10,"Calm","Calm","-","N/A","","Partly Cloudy",0,"2015-01-02 21:56:00","01/02/2015",13
"40","2:56 PM",52,35.1,"53",30.13,10,"Calm","Calm","-","N/A","","Partly Cloudy",0,"2015-01-02 22:56:00","01/02/2015",14
"41","3:56 PM",51.1,37.9,"61",30.14,9,"Calm","Calm","-","N/A","","Partly Cloudy",0,"2015-01-02 23:56:00","01/02/2015",15
"42","4:56 PM",50,37.9,"63",30.13,9,"Calm","Calm","-","N/A","","Clear",0,"2015-01-03 00:56:00","01/03/2015",16
"43","5:56 PM",50,35.1,"57",30.12,10,"Calm","Calm","-","N/A","","Clear",0,"2015-01-03 01:56:00","01/03/2015",17
"44","6:56 PM",48,35.1,"61",30.15,10,"SSW","3.5","-","N/A","","Clear",200,"2015-01-03 02:56:00","01/03/2015",18
"45","7:56 PM",50,37.9,"63",30.16,10,"NE","3.5","-","N/A","","Clear",40,"2015-01-03 03:56:00","01/03/2015",19
"46","8:56 PM",48,37.9,"68",30.18,10,"NNW","3.5","-","N/A","","Clear",330,"2015-01-03 04:56:00","01/03/2015",20
"47","9:56 PM",46.9,35.1,"63",30.19,10,"Calm","Calm","-","N/A","","Clear",0,"2015-01-03 05:56:00","01/03/2015",21
"48","10:56 PM",44.1,37,"76",30.19,9,"SSE","4.6","-","N/A","","Clear",160,"2015-01-03 06:56:00","01/03/2015",22
"49","11:56 PM",45,37.9,"76",30.2,6,"Calm","Calm","-","N/A","","Haze",0,"2015-01-03 07:56:00","01/03/2015",23
"50","12:56 AM",41,37,"86",30.19,9,"Calm","Calm","-","N/A","","Clear",0,"2015-01-03 08:56:00","01/03/2015",0
"51","1:56 AM",39.9,35.1,"83",30.21,10,"SW","3.5","-","N/A","","Clear",230,"2015-01-03 09:56:00","01/03/2015",1
"52","2:56 AM",41,36,"82",30.21,9,"Calm","Calm","-","N/A","","Clear",0,"2015-01-03 10:56:00","01/03/2015",2
"53","3:56 AM",39.2,35.6,"87",30.21,9,"Calm","Calm","-","N/A","","Clear",0,"2015-01-03 11:56:00","01/03/2015",3
"54","4:56 AM",39.9,37,"89",30.22,8,"Calm","Calm","-","N/A","","Clear",0,"2015-01-03 12:56:00","01/03/2015",4
"55","5:56 AM",39.9,35.1,"83",30.22,7,"SSE","3.5","-","N/A","","Clear",160,"2015-01-03 13:56:00","01/03/2015",5
"56","6:56 AM",41,37,"86",30.23,9,"SSE","3.5","-","N/A","","Partly Cloudy",160,"2015-01-03 14:56:00","01/03/2015",6
"57","7:56 AM",39.9,37,"89",30.24,8,"SSE","4.6","-","N/A","","Partly Cloudy",150,"2015-01-03 15:56:00","01/03/2015",7
"58","8:56 AM",44.1,37.9,"79",30.26,8,"Calm","Calm","-","N/A","","Partly Cloudy",0,"2015-01-03 16:56:00","01/03/2015",8
"59","9:56 AM",46,39.9,"79",30.29,8,"Calm","Calm","-","N/A","","Partly Cloudy",0,"2015-01-03 17:56:00","01/03/2015",9
"60","10:56 AM",48.9,39,"69",30.27,8,"NE","3.5","-","N/A","","Partly Cloudy",40,"2015-01-03 18:56:00","01/03/2015",10
"61","11:56 AM",50,37.9,"63",30.25,9,"Calm","Calm","-","N/A","","Partly Cloudy",0,"2015-01-03 19:56:00","01/03/2015",11
"62","12:56 PM",51.1,37,"59",30.24,10,"NNE","4.6","-","N/A","","Partly Cloudy",20,"2015-01-03 20:56:00","01/03/2015",12
"63","1:56 PM",53.1,43,"69",30.24,9,"North","6.9","-","N/A","","Partly Cloudy",10,"2015-01-03 21:56:00","01/03/2015",13
"64","2:56 PM",53.1,41,"64",30.25,9,"Calm","Calm","-","N/A","","Partly Cloudy",0,"2015-01-03 22:56:00","01/03/2015",14
"65","3:56 PM",53.1,41,"64",30.27,9,"Calm","Calm","-","N/A","","Partly Cloudy",0,"2015-01-03 23:56:00","01/03/2015",15
"66","4:56 PM",50,45,"83",30.27,9,"ENE","3.5","-","N/A","","Partly Cloudy",70,"2015-01-04 00:56:00","01/04/2015",16
"67","5:56 PM",51.1,43,"74",30.27,10,"Calm","Calm","-","N/A","","Partly Cloudy",0,"2015-01-04 01:56:00","01/04/2015",17
"68","6:56 PM",48.9,41,"74",30.28,10,"Calm","Calm","-","N/A","","Partly Cloudy",0,"2015-01-04 02:56:00","01/04/2015",18
"69","7:56 PM",46.9,39,"74",30.29,10,"South","3.5","-","N/A","","Partly Cloudy",180,"2015-01-04 03:56:00","01/04/2015",19
"70","8:56 PM",46.9,37.9,"71",30.3,10,"Calm","Calm","-","N/A","","Partly Cloudy",0,"2015-01-04 04:56:00","01/04/2015",20
"71","9:56 PM",46,39,"76",30.31,10,"Calm","Calm","-","N/A","","Scattered Clouds",0,"2015-01-04 05:56:00","01/04/2015",21
"72","10:56 PM",46,39.9,"79",30.32,9,"Calm","Calm","-","N/A","","Scattered Clouds",0,"2015-01-04 06:56:00","01/04/2015",22
"73","11:56 PM",46,39.9,"79",30.32,9,"Calm","Calm","-","N/A","","Partly Cloudy",0,"2015-01-04 07:56:00","01/04/2015",23
"74","12:56 AM",44.1,41,"89",30.32,9,"SSW","3.5","-","N/A","","Partly Cloudy",200,"2015-01-04 08:56:00","01/04/2015",0
"75","1:56 AM",42.1,39,"89",30.33,9,"SW","3.5","-","N/A","","Partly Cloudy",220,"2015-01-04 09:56:00","01/04/2015",1
"76","2:56 AM",43,39.9,"89",30.34,6,"Calm","Calm","-","N/A","","Partly Cloudy",0,"2015-01-04 10:56:00","01/04/2015",2
"77","3:56 AM",42.1,39,"89",30.35,6,"Calm","Calm","-","N/A","","Scattered Clouds",0,"2015-01-04 11:56:00","01/04/2015",3
"78","4:56 AM",43,41,"93",30.35,6,"Calm","Calm","-","N/A","","Mostly Cloudy",0,"2015-01-04 12:56:00","01/04/2015",4
"79","5:56 AM",44.1,43,"96",30.37,6,"SSE","3.5","-","N/A","","Mostly Cloudy",160,"2015-01-04 13:56:00","01/04/2015",5
"80","6:56 AM",45,43,"93",30.4,6,"Calm","Calm","-","N/A","","Mostly Cloudy",0,"2015-01-04 14:56:00","01/04/2015",6
"81","7:56 AM",45,43,"93",30.39,6,"SSE","9.2","-","N/A","","Mostly Cloudy",150,"2015-01-04 15:56:00","01/04/2015",7
"82","8:56 AM",46,41,"83",30.41,6,"Calm","Calm","-","N/A","","Haze",0,"2015-01-04 16:56:00","01/04/2015",8
"83","9:56 AM",48.9,41,"74",30.43,8,"NNE","4.6","-","N/A","","Scattered Clouds",20,"2015-01-04 17:56:00","01/04/2015",9
"84","10:56 AM",50,39.9,"68",30.41,6,"Calm","Calm","-","N/A","","Haze",0,"2015-01-04 18:56:00","01/04/2015",10
"85","11:56 AM",51.1,37.9,"61",30.4,8,"Calm","Calm","-","N/A","","Mostly Cloudy",0,"2015-01-04 19:56:00","01/04/2015",11
"86","12:56 PM",52,41,"66",30.38,8,"Calm","Calm","-","N/A","","Mostly Cloudy",0,"2015-01-04 20:56:00","01/04/2015",12
"87","1:56 PM",54,41,"62",30.37,8,"Calm","Calm","-","N/A","","Mostly Cloudy",0,"2015-01-04 21:56:00","01/04/2015",13
"88","2:56 PM",53.1,43,"69",30.38,7,"NNE","4.6","-","N/A","","Overcast",20,"2015-01-04 22:56:00","01/04/2015",14
