TimePST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:56 AM,44.1,33.1,65,30.08,10.0,WNW,3.5,-,N/A,,Clear,300,2015-01-01 08:56:00
1:56 AM,39.9,32.0,73,30.09,10.0,SSW,3.5,-,N/A,,Clear,200,2015-01-01 09:56:00
2:56 AM,50.0,30.0,46,30.09,10.0,NE,17.3,-,N/A,,Clear,50,2015-01-01 10:56:00
3:56 AM,48.9,28.0,44,30.09,10.0,ENE,11.5,-,N/A,,Clear,60,2015-01-01 11:56:00
4:56 AM,48.9,28.0,44,30.09,10.0,ENE,12.7,-,N/A,,Clear,60,2015-01-01 12:56:00
5:56 AM,48.0,26.1,42,30.10,10.0,NE,9.2,-,N/A,,Clear,40,2015-01-01 13:56:00
6:56 AM,48.0,28.9,48,30.12,10.0,NE,17.3,-,N/A,,Clear,40,2015-01-01 14:56:00
7:56 AM,48.9,27.0,43,30.14,10.0,NE,13.8,-,N/A,,Clear,50,2015-01-01 15:56:00
8:56 AM,50.0,27.0,41,30.15,10.0,NE,11.5,-,N/A,,Clear,50,2015-01-01 16:56:00
9:56 AM,51.1,28.0,41,30.17,10.0,NE,16.1,-,N/A,,Clear,50,2015-01-01 17:56:00
10:56 AM,52.0,28.9,41,30.17,10.0,NE,15.0,-,N/A,,Clear,50,2015-01-01 18:56:00
11:56 AM,53.1,30.9,43,30.14,10.0,NE,11.5,-,N/A,,Clear,40,2015-01-01 19:56:00
12:56 PM,54.0,30.9,41,30.12,10.0,ENE,6.9,-,N/A,,Clear,60,2015-01-01 20:56:00
1:56 PM,54.0,33.1,45,30.10,10.0,ENE,9.2,-,N/A,,Clear,60,2015-01-01 21:56:00
2:56 PM,54.0,35.1,49,30.12,10.0,NNE,13.8,-,N/A,,Clear,30,2015-01-01 22:56:00
3:56 PM,54.0,30.0,40,30.13,10.0,NW,5.8,-,N/A,,Clear,320,2015-01-01 23:56:00
4:56 PM,52.0,37.9,59,30.14,10.0,North,6.9,-,N/A,,Clear,360,2015-01-02 00:56:00
5:56 PM,51.1,35.1,54,30.14,10.0,NNW,9.2,-,N/A,,Clear,340,2015-01-02 01:56:00
6:56 PM,50.0,35.1,57,30.15,10.0,NNW,5.8,-,N/A,,Clear,330,2015-01-02 02:56:00
7:56 PM,48.9,32.0,52,30.15,10.0,South,3.5,-,N/A,,Clear,190,2015-01-02 03:56:00
8:56 PM,46.9,32.0,56,30.16,10.0,SE,3.5,-,N/A,,Clear,140,2015-01-02 04:56:00
9:56 PM,46.9,30.9,54,30.17,10.0,Calm,Calm,-,N/A,,Clear,0,2015-01-02 05:56:00
10:56 PM,45.0,30.9,58,30.17,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-02 06:56:00
11:56 PM,44.1,33.1,65,30.17,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-02 07:56:00
12:56 AM,43.0,32.0,65,30.18,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-02 08:56:00
1:56 AM,42.1,34.0,73,30.18,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-02 09:56:00
2:56 AM,37.9,32.0,79,30.18,10.0,SW,3.5,-,N/A,,Partly Cloudy,220,2015-01-02 10:56:00
3:56 AM,39.9,32.0,73,30.18,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-02 11:56:00
4:56 AM,37.9,33.1,83,30.17,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-02 12:56:00
5:56 AM,39.0,35.1,86,30.18,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-01-02 13:56:00
6:56 AM,39.9,36.0,86,30.19,10.0,South,3.5,-,N/A,,Scattered Clouds,190,2015-01-02 14:56:00
7:21 AM,41.0,35.6,81,30.20,10.0,South,3.5,-,N/A,,Mostly Cloudy,190,2015-01-02 15:21:00
7:56 AM,41.0,37.0,86,30.22,9.0,South,3.5,-,N/A,,Scattered Clouds,180,2015-01-02 15:56:00
